Record #:  1
Notes :
gain 6 zorye running

12/11/20259:37:55 pm
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
84.477997E-3	5.229092E-3	11.682129E-3	-370.029211E-3	-400.000000E-3	220.101976E-3	104.056072E-3	-400.000000E-3
84.477186E-3	5.237103E-3	11.695719E-3	-369.993448E-3	-400.000000E-3	220.134974E-3	104.083252E-3	-400.000000E-3
84.478378E-3	5.243349E-3	11.715269E-3	-369.980621E-3	-400.000000E-3	220.141315E-3	104.086876E-3	-400.000000E-3
84.478664E-3	5.246782E-3	11.726332E-3	-369.974470E-3	-400.000000E-3	220.141888E-3	104.085588E-3	-400.000000E-3
84.477758E-3	5.256462E-3	11.732340E-3	-369.952822E-3	-400.000000E-3	220.164680E-3	104.108381E-3	-400.000000E-3
84.477472E-3	5.263758E-3	11.737347E-3	-369.955778E-3	-400.000000E-3	220.167351E-3	104.111719E-3	-400.000000E-3
84.477615E-3	5.267572E-3	11.745119E-3	-369.978428E-3	-400.000000E-3	220.152521E-3	104.091072E-3	-400.000000E-3
84.478903E-3	5.278111E-3	11.755705E-3	-369.976473E-3	-400.000000E-3	220.161343E-3	104.092741E-3	-400.000000E-3
84.478283E-3	5.291605E-3	11.774540E-3	-369.982100E-3	-400.000000E-3	220.160723E-3	104.085541E-3	-400.000000E-3
84.480095E-3	5.308342E-3	11.798191E-3	-369.992065E-3	-400.000000E-3	220.151711E-3	104.074192E-3	-400.000000E-3
84.478664E-3	5.314779E-3	11.809492E-3	-370.017195E-3	-400.000000E-3	220.126581E-3	104.049110E-3	-400.000000E-3
84.479618E-3	5.315304E-3	11.813545E-3	-370.017290E-3	-400.000000E-3	220.125198E-3	104.049492E-3	-400.000000E-3
84.480095E-3	5.324793E-3	11.831188E-3	-369.994354E-3	-400.000000E-3	220.141459E-3	104.062891E-3	-400.000000E-3
84.482527E-3	5.345583E-3	11.860847E-3	-369.988394E-3	-400.000000E-3	220.142746E-3	104.065132E-3	-400.000000E-3
84.486151E-3	5.360508E-3	11.873150E-3	-370.006037E-3	-400.000000E-3	220.127869E-3	104.044628E-3	-400.000000E-3
84.487009E-3	5.377674E-3	11.902285E-3	-369.998074E-3	-400.000000E-3	220.137596E-3	104.050446E-3	-400.000000E-3
84.488153E-3	5.396414E-3	11.927986E-3	-369.995546E-3	-400.000000E-3	220.138741E-3	104.046488E-3	-400.000000E-3
84.485054E-3	5.413246E-3	11.957073E-3	-369.993305E-3	-400.000000E-3	220.138264E-3	104.039860E-3	-400.000000E-3
84.483242E-3	5.426788E-3	11.978292E-3	-369.973850E-3	-400.000000E-3	220.159292E-3	104.053926E-3	-400.000000E-3
84.483957E-3	5.435848E-3	11.997843E-3	-369.950819E-3	-400.000000E-3	220.184660E-3	104.078913E-3	-400.000000E-3
84.482670E-3	5.451155E-3	12.021780E-3	-369.939280E-3	-400.000000E-3	220.198011E-3	104.091787E-3	-400.000000E-3
84.484434E-3	5.454874E-3	12.036228E-3	-369.918156E-3	-400.000000E-3	220.221090E-3	104.107094E-3	-400.000000E-3
84.489965E-3	5.457544E-3	12.062979E-3	-369.883633E-3	-400.000000E-3	220.249367E-3	104.135895E-3	-400.000000E-3
